district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100003001,3,1,1,حي العمل,Al Amal Dist.,24.644898,46.7235761,46.7150945,24.6402305,46.7337432,24.651219
10100003002,3,1,2,حي النموذجية,Al Namudhajiyah Dist.,24.6556866,46.6964474,46.6849828,24.6461686,46.7022758,24.6682084
10100003003,3,1,3,حي الجرادية,Al Jarradiyah Dist.,24.6188315,46.6959938,46.6913662,24.6101069,46.7068046,24.6273127
10100003004,3,1,4,حي الصناعية,Al Sinaiyah Dist.,24.6464929,46.7415315,46.7331478,24.6302006,46.7619112,24.6541399
10100003005,3,1,5,حي منفوحة الجديدة,Manfuha Al Jadidah Dist.,24.613353,46.7163326,46.7100206,24.6058056,46.7283183,24.6209303
10100003006,3,1,6,حي الفاخرية,Al Fakhiriyah Dist.,24.6447758,46.6863245,46.6723669,24.6337627,46.6932291,24.6501825
10100003007,3,1,7,حي الديرة,Al Dirah Dist.,24.6324519,46.7128093,46.7038596,24.6227667,46.7177951,24.6383869
10100003008,3,1,8,حي ام الحمام الشرقي,East Umm Al Hamam Dist.,24.6844464,46.6595452,46.6495393,24.674415,46.669004,24.7019003
10100003009,3,1,9,حي الشرفية,Al Sharafiyah Dist.,24.6618025,46.6652072,46.6586467,24.6492816,46.6787216,24.6714845
10100003010,3,1,10,حي الهدا,Al Hada Dist.,24.6597282,46.6353327,46.604454,24.6409061,46.6666751,24.6869041
10100003011,3,1,11,حي المعذر الشمالي,North Mathar Dist.,24.6836397,46.6681568,46.6540982,24.6748836,46.6783913,24.7084
10100003012,3,1,12,حي ام الحمام الغربي,West Umm Al Hamam Dist.,24.6869032,46.6482692,46.629779,24.6745317,46.6570559,24.7044039
10100003013,3,1,13,حي الرحمانية,Ar Rahmaniyah Dist.,24.7127752,46.659213,46.6468526,24.7044039,46.6719854,24.7277768
10100003014,3,1,14,حي لبن,Laban Dist.,24.6227308,46.6198164,46.5633343,24.6035747,46.6511545,24.657334
10100003015,3,1,15,حي الرفيعة,Ar Rafiah Dist.,24.6354616,46.6596785,46.6438291,24.6251832,46.6769174,24.6504817
10100003016,3,1,16,حي الشهداء,Al Shohda Dist.,24.7886097,46.7330487,46.7223096,24.7761665,46.7485505,24.8001717
10100003017,3,1,17,حي الملك فهد,King Fahd Dist.,24.7391766,46.6669466,46.6555602,24.7277686,46.6851746,24.7534579
10100003018,3,1,18,حي السويدي,Al Suwaidi Dist.,24.5981456,46.6824737,46.6527813,24.5768841,46.7065983,24.6046691
10100003019,3,1,19,حي الحزم,Al Hazm Dist.,24.545986,46.6417431,46.6218869,24.5170353,46.6706169,24.5597873
10100003020,3,1,20,حي عتيقة,Utayqah Dist.,24.6013251,46.7070294,46.7030426,24.5859427,46.7118552,24.617295
10100003021,3,1,21,حي المربع,Al Murabba Dist.,24.6626897,46.7071328,46.6958194,24.6443925,46.7182111,24.681376
10100003022,3,1,22,حي الفلاح,Al Falah Dist.,24.7995986,46.7105251,46.6961102,24.7850428,46.7223096,24.8090413
10100003023,3,1,23,حي الندى,Al Nada Dist.,24.8092534,46.6828264,46.6698428,24.793869,46.6961102,24.8178239
10100003024,3,1,24,حي المرسلات,Al Mursalat Dist.,24.7461285,46.6914843,46.6766947,24.7366893,46.7031057,24.7610399
10100003025,3,1,25,حي النزهة,Al Nuzha Dist.,24.7570312,46.7075981,46.6946817,24.7442428,46.7211159,24.7686129
10100003026,3,1,26,حي الورود,Al Woroud Dist.,24.7186712,46.6780172,46.664038,24.7120634,46.6929423,24.7366893
10100003027,3,1,27,حي الملك فيصل,King Faisal Dist.,24.7655678,46.7736346,46.7591149,24.7470305,46.7902282,24.7763425
