region_id,code,name_ar,name_en,capital_city_id,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
1,RD,منطقة الرياض,Riyadh,3,24.69999996,46.73333003,41.6860256,19.2083336,48.1837998,27.7020999
2,MQ,منطقة مكة المكرمة,Makkah,6,21.42717994,39.84349001,38.61693,18.5646906,43.83016,23.6952001
3,MN,منطقة المدينة المنورة,Madinah,14,24.47057996,39.60781006,37.084,22.5197101,42.1566,27.4666499
4,QA,منطقة القصيم,Qassim,11,26.33033999,43.97435997,41.3073127,24.4836001,44.9894666,28.2507999
5,SQ,المنطقة الشرقية,Eastern Province,13,26.44199002,50.10919981,44.6706644,19.0005171,55.6666667,29.1413858
6,AS,منطقة عسير,Asir,15,18.21667,42.50000002,41.2142233,17.3666667,44.4407886,20.8026601
7,TB,منطقة تبوك,Tabuk,1,28.41463997,36.53387003,34.4956652,24.560725,39.92296,29.9761406
8,HA,منطقة حائل,Hail,10,27.53054999,41.69733002,39.11418,25.2543901,44.3676607,29.2078762
9,SH,منطقة الحدود الشمالية,Northern Borders,2213,30.97214998,41.01332997,37.9552529,27.8317607,45.4641414,32.1539618
10,GA,منطقة جازان,Jazan,17,16.89671995,42.55360001,41.38948,16.0884301,43.3365,18.0603979
11,NG,منطقة نجران,Najran,3417,17.5408618,44.2663834,43.59569,16.95,52.0017527,19.4488889
12,BA,منطقة الباحة,Bahah,1542,20.00695006,41.46314,40.8291644,19.4458102,42.1297162,20.8293801
13,GO,منطقة الجوف,Jawf,2237,29.9728,40.21416997,37.0058749,28.3679399,41.99684,31.7498732
